"","Dendritic_cells","SMC","Epitel","Bcell","Neutrophils","Tcell","Mono_Macro","Erythroblast","BM_HSC","Vascular","Gametes","ES_iPS","Keratinocytes","NKcells","Adipocytes","Bone_etc","MSC","Plt","Bladder","Fibroblasts","Centrocytes","Hepatocytes","Neuron","Endocrine","A","B","C"
"B",0.786285662032469,0.883177982843888,0.770419369373947,0.784408378999268,0.659217090822106,0.763693684229659,0.807909688524972,0.74925586792399,0.807144828404387,0.864753056913965,0.639417288318431,0.869374320659438,0.783961075085949,0.772291567761856,0.851881953150872,0.856733158002776,0.854364745891773,0.663067300276818,0.840027974870234,0.883515639244588,0.755973882194687,0.769479739775927,0.863483604277611,0.810434971790396,0.922395578579429,1,0.93609184878794
"C",0.775210464425802,0.848321684808192,0.755373984471294,0.789052741602979,0.658928384076922,0.768007914434598,0.797849963376446,0.759790720723985,0.805851792990832,0.839899021207886,0.635445301408693,0.862562688898182,0.783580253167246,0.777200464553694,0.818268480883785,0.823765969444843,0.825794121977163,0.662935849854859,0.827055259796093,0.847952237754725,0.760682020342783,0.752495011310781,0.838832117726991,0.810890850875433,0.912939475519794,0.93609184878794,1
"A",0.76805754341024,0.820861947042438,0.74894693880393,0.777401069643886,0.651434077519553,0.759393244651138,0.790485391130294,0.756353707176224,0.796710057715269,0.821229390622043,0.637576428741708,0.856400923631227,0.774107836838433,0.762001722669232,0.798877856363328,0.797109375055357,0.795447582189842,0.650118399918179,0.80366377204462,0.819873819246348,0.751021771944248,0.79284974651953,0.812337130586094,0.799917727252914,1,0.922395578579429,0.912939475519794
"Fibroblasts",0.819149320833438,0.953447335055838,0.812946301396143,0.769586299070402,0.664992867111609,0.753449463937736,0.822957488281114,0.731197147669663,0.803514607607255,0.910076523028284,0.664571141844574,0.872903090549609,0.799290528536047,0.746950407375232,0.936408168603139,0.94951100913098,0.931834924468392,0.664695601561218,0.858668114431468,1,0.752328173154549,0.769922250418967,0.888400915052883,0.789952774033462,0.819873819246348,0.883515639244588,0.847952237754725
"SMC",0.817821141636904,1,0.804008005036479,0.775410934780964,0.674784796192314,0.764647345065659,0.827471505369331,0.7380950462013,0.804143450592357,0.912330125716576,0.654904276315174,0.86017730521665,0.805723506529083,0.754458129722477,0.926941990507858,0.945770073552322,0.941798461034348,0.676127033917879,0.86524921945783,0.953447335055838,0.743748506027231,0.770908778426396,0.894506678096345,0.801544894933654,0.820861947042438,0.883177982843888,0.848321684808192
"ES_iPS",0.784195919948944,0.86017730521665,0.797217779295858,0.781250462071398,0.643489688088885,0.759078320921167,0.790866182829071,0.754605794454356,0.808919581827129,0.863688220068982,0.694391102619207,1,0.793885902599901,0.749717707452976,0.844507137300088,0.856044943253186,0.844034169024154,0.665598667367979,0.83274241886421,0.872903090549609,0.776079104638377,0.759105799831692,0.859598865991557,0.847090406748323,0.856400923631227,0.869374320659438,0.862562688898182
"Vascular",0.855033096449298,0.912330125716576,0.839585203085909,0.792235778217914,0.703458854770491,0.782478250706216,0.852092255219817,0.766230086123055,0.831482959287556,1,0.695654770911224,0.863688220068982,0.821449638131377,0.763578767882638,0.884304132230289,0.907477641123184,0.901642374428946,0.692688042518396,0.878475516093465,0.910076523028284,0.774966304005424,0.777423807853793,0.865669966838667,0.794414032614999,0.821229390622043,0.864753056913965,0.839899021207886
"Neuron",0.78778363321034,0.894506678096345,0.760638719022368,0.760937130079209,0.65292926639125,0.738496723095897,0.801663084302675,0.726401084712943,0.782588770196783,0.865669966838667,0.625700288777225,0.859598865991557,0.764597707961606,0.740575988031085,0.866504048998414,0.875672253422022,0.880213939088552,0.647473915951826,0.835621575061871,0.888400915052883,0.727407414977605,0.731618735248786,1,0.809769622910909,0.812337130586094,0.863483604277611,0.838832117726991
"Bone_etc",0.828617687780655,0.945770073552322,0.830756637738789,0.764870215592478,0.676207312370155,0.761638750033334,0.824984027425172,0.736614243192382,0.800490814169448,0.907477641123184,0.685852112338237,0.856044943253186,0.813752179152744,0.736842269934539,0.933940832723005,1,0.947155715181869,0.694434037585521,0.853315468090838,0.94951100913098,0.76113841008623,0.780045545913611,0.875672253422022,0.780975739648174,0.797109375055357,0.856733158002776,0.823765969444843
"MSC",0.820010389211855,0.941798461034348,0.801454609445944,0.758047970283569,0.682859017887384,0.748776478629794,0.818286897797662,0.739049586503948,0.788575300604149,0.901642374428946,0.659840203802102,0.844034169024154,0.811852001766263,0.733456253532523,0.916486790439757,0.947155715181869,1,0.671551135761962,0.860713270031312,0.931834924468392,0.736997691795169,0.768538489418121,0.880213939088552,0.780296820649651,0.795447582189842,0.854364745891773,0.825794121977163
"Adipocytes",0.80501254061028,0.926941990507858,0.800753751214534,0.752242616406077,0.651818506140288,0.734711172313603,0.810618012725997,0.709785672647436,0.785972473568759,0.884304132230289,0.651416575190472,0.844507137300088,0.78358134442198,0.729811372084441,1,0.933940832723005,0.916486790439757,0.663435793844445,0.831867003054901,0.936408168603139,0.731781699600209,0.781648774333941,0.866504048998414,0.771478472819247,0.798877856363328,0.851881953150872,0.818268480883785
"Bladder",0.815004560062563,0.86524921945783,0.863290448377072,0.750413748543917,0.677320967347314,0.737782836994613,0.817689752061619,0.721095928413966,0.781724678279643,0.878475516093465,0.644126213270569,0.83274241886421,0.857944766995831,0.724728298885417,0.831867003054901,0.853315468090838,0.860713270031312,0.639954807531623,1,0.858668114431468,0.734101775407804,0.758351250803186,0.835621575061871,0.7535182926208,0.80366377204462,0.840027974870234,0.827055259796093
"Endocrine",0.725719836987241,0.801544894933654,0.693924448898375,0.756457642641187,0.612963039515697,0.738805156303824,0.743751782671924,0.730815031566568,0.764062308628203,0.794414032614999,0.625920379106496,0.847090406748323,0.722482884693387,0.734228025678454,0.771478472819247,0.780975739648174,0.780296820649651,0.636453990830443,0.7535182926208,0.789952774033462,0.730234127544489,0.68870710204826,0.809769622910909,1,0.799917727252914,0.810434971790396,0.810890850875433
"Mono_Macro",0.971150131672191,0.827471505369331,0.77907243840735,0.886608979632148,0.848855781558018,0.878604891985973,1,0.798161929399445,0.925114517607231,0.852092255219817,0.653339829560411,0.790866182829071,0.79863806445984,0.859291311533405,0.810618012725997,0.824984027425172,0.818286897797662,0.759773933362609,0.817689752061619,0.822957488281114,0.83057745840279,0.757490263787363,0.801663084302675,0.743751782671924,0.790485391130294,0.807909688524972,0.797849963376446
"BM_HSC",0.894129511806305,0.804143450592357,0.749207888162013,0.927026202579551,0.85062553207867,0.907827669166965,0.925114517607231,0.833411885342974,1,0.831482959287556,0.65941153037456,0.808919581827129,0.773618726855497,0.888301856140287,0.785972473568759,0.800490814169448,0.788575300604149,0.804630559110278,0.781724678279643,0.803514607607255,0.862095587553606,0.739012583314051,0.782588770196783,0.764062308628203,0.796710057715269,0.807144828404387,0.805851792990832
"Dendritic_cells",1,0.817821141636904,0.79992213814817,0.857396929804049,0.828273243985935,0.854125731494996,0.971150131672191,0.793663672241948,0.894129511806305,0.855033096449298,0.677677684654475,0.784195919948944,0.810882127899029,0.820639773233367,0.80501254061028,0.828617687780655,0.820010389211855,0.743178607668177,0.815004560062563,0.819149320833438,0.810998191968537,0.757319053545216,0.78778363321034,0.725719836987241,0.76805754341024,0.786285662032469,0.775210464425802
"Bcell",0.857396929804049,0.775410934780964,0.707199196339416,1,0.798704824116214,0.918728245769225,0.886608979632148,0.812551911290233,0.927026202579551,0.792235778217914,0.637362413837816,0.781250462071398,0.743310853723532,0.88670038390962,0.752242616406077,0.764870215592478,0.758047970283569,0.784003054887746,0.750413748543917,0.769586299070402,0.894818786221198,0.708296907017968,0.760937130079209,0.756457642641187,0.777401069643886,0.784408378999268,0.789052741602979
"Keratinocytes",0.810882127899029,0.805723506529083,0.844829097133509,0.743310853723532,0.68119924320405,0.753058498785161,0.79863806445984,0.749562707756134,0.773618726855497,0.821449638131377,0.682484745997115,0.793885902599901,1,0.711559588492036,0.78358134442198,0.813752179152744,0.811852001766263,0.65865757680789,0.857944766995831,0.799290528536047,0.731267079037427,0.749000306834593,0.764597707961606,0.722482884693387,0.774107836838433,0.783961075085949,0.783580253167246
"NKcells",0.820639773233367,0.754458129722477,0.671565005491911,0.88670038390962,0.787778453855782,0.912458863018456,0.859291311533405,0.774666894664232,0.888301856140287,0.763578767882638,0.587464305911556,0.749717707452976,0.711559588492036,1,0.729811372084441,0.736842269934539,0.733456253532523,0.748972043810651,0.724728298885417,0.746950407375232,0.815323221677974,0.67782725282381,0.740575988031085,0.734228025678454,0.762001722669232,0.772291567761856,0.777200464553694
"Epitel",0.79992213814817,0.804008005036479,1,0.707199196339416,0.641092481051868,0.710031698706704,0.77907243840735,0.690967328921398,0.749207888162013,0.839585203085909,0.694895851248906,0.797217779295858,0.844829097133509,0.671565005491911,0.800753751214534,0.830756637738789,0.801454609445944,0.618225946268226,0.863290448377072,0.812946301396143,0.716205526062913,0.752458799534313,0.760638719022368,0.693924448898375,0.74894693880393,0.770419369373947,0.755373984471294
"Hepatocytes",0.757319053545216,0.770908778426396,0.752458799534313,0.708296907017968,0.624402366048726,0.696524237718369,0.757490263787363,0.680428430470869,0.739012583314051,0.777423807853793,0.620509986444851,0.759105799831692,0.749000306834593,0.67782725282381,0.781648774333941,0.780045545913611,0.768538489418121,0.639242563086654,0.758351250803186,0.769922250418967,0.697010086501334,1,0.731618735248786,0.68870710204826,0.79284974651953,0.769479739775927,0.752495011310781
"Tcell",0.854125731494996,0.764647345065659,0.710031698706704,0.918728245769225,0.807148413415998,1,0.878604891985973,0.829108667663341,0.907827669166965,0.782478250706216,0.646061042027317,0.759078320921167,0.753058498785161,0.912458863018456,0.734711172313603,0.761638750033334,0.748776478629794,0.797358008888779,0.737782836994613,0.753449463937736,0.847910179756795,0.696524237718369,0.738496723095897,0.738805156303824,0.759393244651138,0.763693684229659,0.768007914434598
"Centrocytes",0.810998191968537,0.743748506027231,0.716205526062913,0.894818786221198,0.732800055529027,0.847910179756795,0.83057745840279,0.77728354536427,0.862095587553606,0.774966304005424,0.63950337923222,0.776079104638377,0.731267079037427,0.815323221677974,0.731781699600209,0.76113841008623,0.736997691795169,0.72383589584471,0.734101775407804,0.752328173154549,1,0.697010086501334,0.727407414977605,0.730234127544489,0.751021771944248,0.755973882194687,0.760682020342783
"Erythroblast",0.793663672241948,0.7380950462013,0.690967328921398,0.812551911290233,0.715134256948555,0.829108667663341,0.798161929399445,1,0.833411885342974,0.766230086123055,0.666662857664405,0.754605794454356,0.749562707756134,0.774666894664232,0.709785672647436,0.736614243192382,0.739049586503948,0.70601442529156,0.721095928413966,0.731197147669663,0.77728354536427,0.680428430470869,0.726401084712943,0.730815031566568,0.756353707176224,0.74925586792399,0.759790720723985
"Plt",0.743178607668177,0.676127033917879,0.618225946268226,0.784003054887746,0.712996388183006,0.797358008888779,0.759773933362609,0.70601442529156,0.804630559110278,0.692688042518396,0.594538035735671,0.665598667367979,0.65865757680789,0.748972043810651,0.663435793844445,0.694434037585521,0.671551135761962,1,0.639954807531623,0.664695601561218,0.72383589584471,0.639242563086654,0.647473915951826,0.636453990830443,0.650118399918179,0.663067300276818,0.662935849854859
"Neutrophils",0.828273243985935,0.674784796192314,0.641092481051868,0.798704824116214,1,0.807148413415998,0.848855781558018,0.715134256948555,0.85062553207867,0.703458854770491,0.56809833146474,0.643489688088885,0.68119924320405,0.787778453855782,0.651818506140288,0.676207312370155,0.682859017887384,0.712996388183006,0.677320967347314,0.664992867111609,0.732800055529027,0.624402366048726,0.65292926639125,0.612963039515697,0.651434077519553,0.659217090822106,0.658928384076922
"Gametes",0.677677684654475,0.654904276315174,0.694895851248906,0.637362413837816,0.56809833146474,0.646061042027317,0.653339829560411,0.666662857664405,0.65941153037456,0.695654770911224,1,0.694391102619207,0.682484745997115,0.587464305911556,0.651416575190472,0.685852112338237,0.659840203802102,0.594538035735671,0.644126213270569,0.664571141844574,0.63950337923222,0.620509986444851,0.625700288777225,0.625920379106496,0.637576428741708,0.639417288318431,0.635445301408693
